,Unnamed: 0,title,year,language,time,rate,people
117,117,哀乐女子天团,2017,汉语普通话,86分钟,6.7,5958
242,242,蓝色爱情,2000,汉语普通话,92分钟,7.8,5601
53,53,回到被爱的每一天,2015,汉语普通话,102分钟,7.5,5593
224,224,周末情人,1995,汉语普通话,98分钟,6.8,5185
4,4,极度寒冷,1996,汉语普通话,96分钟,7.2,5125
226,226,再见十八班,2018,汉语普通话,102分钟,6.7,5047
86,86,睡沙发的人,2017,汉语普通话,80分钟,7.7,4822
235,235,北京，你早,1990,汉语普通话,100分钟,8.1,4529
263,263,天那边,2009,汉语普通话,又名:,7.3,3638
126,126,青春祭,1985,汉语普通话,96分钟,8.2,3338
289,289,十字街头,1937,汉语普通话,110分钟,7.9,3227
219,219,杨梅洲,2012,长沙方言 / 湘潭方言,98分钟,7,3186
116,116,岁月无声,2012,汉语普通话,93分钟,6.8,3140
49,49,小街,1981,汉语普通话,100分钟,8.1,3023
8,8,阿浪的远方,2018,汉语普通话,90分钟,7.1,2571
268,268,彼岸,2009,普通话/国语,89分钟,8.4,2300
137,137,青春之歌,1959,汉语普通话,157分钟,7,2265
203,203,天上的恋人,2002,汉语普通话,93分钟,7.4,2240
112,112,一半是火焰，一半是海水,1989,汉语普通话,91分钟,6.8,1825
81,81,太阳花,2001,汉语普通话,29分钟,6.9,1794
174,174,在勾引中学会爱,2013,汉语普通话,72分钟,7.4,1786
169,169,上一当,1992,汉语普通话,89分钟,7.5,1777
227,227,女大学生宿舍,1983,汉语普通话,85分钟,7.6,1771
262,262,枫,1980,汉语普通话,88分钟,7.5,1722
124,124,红衣少女,1985,汉语普通话,100分钟,7.9,1632
123,123,郎在对门唱山歌,2011,汉语普通话,103分钟,6.8,1629
295,295,鮀·恋,2012,潮汕话 / 汉语普通话 / 粤语,90分钟,7.4,1622
58,58,非常夏日,2000,汉语普通话,103分钟,7.6,1610
176,176,在勾引中学会爱2,2016,汉语普通话,114分钟,7.7,1499
185,185,女篮五号,1958,汉语普通话,85分钟,6.9,1499
282,282,背鸭子的男孩,2005,四川话,100 分钟,7.2,1462
238,238,无蝉的夏天,2010,汉语普通话 / 四川话,94分钟,8.3,1373
105,105,我是江小白 剧场版,2018,汉语普通话,37分钟,7.9,1372
191,191,初见：停滞的时光,2010,汉语普通话,84分钟,7.5,1356
77,77,有我在这里 I'm Here,2015,汉语普通话,64分钟(正片),7.5,1351
155,155,桃花灿烂,2005,汉语普通话,,7.1,1322
209,209,方便面时代,1997,汉语普通话,95分钟,7.5,1262
122,122,青春万岁,1983,汉语普通话,94分钟,7.4,1242
218,218,滚拉拉的枪,2008,苗语 / 汉语普通话,103分钟,8,1230
199,199,鲁迅,2005,普通话 / 上海话 / 日语 / 英语,121分钟,7.1,1139
107,107,无限斗界之暗夜双龙,2016,汉语普通话,89分钟,7.4,1128
165,165,我自己的德意志,2006,汉语普通话,,7.5,1117
225,225,活着爱着乐着,2007,汉语普通话,,7.4,1067
141,141,第二次爱你,2015,汉语普通话,120分钟,7.1,1035
177,177,地下的天空,2008,汉语普通话,98分钟,7.9,957
106,106,老情人,2012,汉语普通话,27分钟13秒,6.8,920
291,291,男孩都想有辆车,2007,汉语普通话,87分钟,6.8,877
51,51,北海怪兽,2006,汉语普通话,67分钟,7.2,826
213,213,紫陀螺,2006,陕西方言,88分钟,9,782
139,139,笨鸟,2017,湖南方言,118分钟,6.9,778
152,152,与往事干杯,1995,汉语普通话,96分钟,7.7,777
24,24,红色康拜因,2007,汉语普通话,100分钟,7.2,772
46,46,我的黄金时代,2003,中文,110分钟,8.7,763
249,249,那时的他们,2008,汉语普通话,121分钟,8.1,757
162,162,初吻,2010,普通话/国语,,7.4,743
266,266,鼓乐青春,2015,汉语普通话,95分钟,8.6,743
110,110,逆光,1982,汉语普通话,97分钟,8,732
26,26,不要摄像机,2010,普通话/国语,,8.1,725
286,286,我在记忆里等你,2012,汉语普通话,22分钟,7.3,699
220,220,蓝学校,2011,汉语普通话,91分钟,8,693
84,84,志愿者,2007,汉语普通话 / 英语,,7.5,688
182,182,旅程,2004,汉语普通话,112分钟,7,680
50,50,街上流行红裙子,1984,汉语普通话,96分钟,7.3,675
85,85,完美动物,2003,普通话/国语,,7.9,674
156,156,公共王国的旅行,2004,中文,,8,659
216,216,小字辈,1979,汉语普通话,80分钟,7.4,650
121,121,逆转流星,2008,汉语普通话,100分钟,7,647
143,143,当爱情失去记忆,2002,汉语普通话,96分钟,7.9,645
223,223,德兰,2015,云南方言 / 藏语,90分钟,6.7,628
118,118,女孩，你的一分钟有多长,2006,普通话/国语,75分钟,7.6,557
202,202,上海公园,2008,汉语普通话 / 英语 / 韩语,94分钟(中国大陆),6.8,555
